Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,Cmp_Pct,Yds,TD,TD_Pct,Int,Int_Pct,1D,Succ_Pct,Lng,Yards_Per_Att,Adj_Yards_Per_Att,Yards_Per_Cmp,Yards_Per_Game,Passer_Rating,Total_QBR,Sk,Yds_Lost_Sk,Sk_Pct,Net_Yards_Per_Att,Adj_Net_Yards_Per_Att,Game_Tying_Drives,Game_Winning_Drives,Awards,Player_ID,Wins,Losses,Ties
21,Desmond Ridder,24,ATL,QB,15,13,249,388,64.2,2836,12,3.1,12,3.1,136,45.3,71.0,7.3,6.54,11.4,189.1,83.4,40.8,31,197,7.4,6.3,5.58,2,4,None,RiddDe00,6,7,0
22,Justin Fields,24,CHI,QB,13,13,227,370,61.4,2562,16,4.3,9,2.4,121,38.4,58.0,6.9,6.69,11.3,197.1,86.3,46.9,44,285,10.63,5.5,5.29,1,1,None,FielJu00,5,8,0
23,Joshua Dobbs,28,2TM,QB,13,12,262,417,62.8,2464,13,3.1,10,2.4,126,41.6,69.0,5.9,5.45,9.4,189.5,79.5,0.0,30,217,6.71,5.03,4.6,1,1,None,DobbJo00,3,9,0
23,Joshua Dobbs,28,ARI,QB,8,8,167,266,62.8,1569,8,3.0,5,1.9,82,42.0,69.0,5.9,5.65,9.4,196.1,81.2,0.0,17,126,6.01,5.1,4.87,0,0,None,DobbJo00,1,7,0
23,Joshua Dobbs,28,MIN,QB,5,4,95,151,62.9,895,5,3.3,5,3.3,44,40.9,29.0,5.9,5.1,9.4,179.0,76.4,0.0,13,91,7.93,4.9,4.14,1,1,None,DobbJo00,2,2,0
24,Kirk Cousins,35,MIN,QB,8,8,216,311,69.5,2331,18,5.8,5,1.6,112,46.6,62.0,7.5,7.93,10.8,291.4,103.8,64.0,17,110,5.18,6.77,7.18,0,0,None,CousKi00,4,4,0
25,Joe Burrow,27,CIN,QB,10,10,244,365,66.8,2309,15,4.1,6,1.6,115,46.0,64.0,6.3,6.41,9.5,230.9,91.0,52.4,24,180,6.17,5.47,5.55,0,0,None,BurrJo01,5,5,0
26,Zach Wilson,24,NYJ,QB,12,11,221,368,60.1,2271,8,2.2,7,1.9,104,36.5,68.0,6.2,5.75,10.3,189.3,77.2,31.3,46,340,11.11,4.66,4.29,3,2,None,WilsZa00,4,7,0
27,Aidan O'Connell,25,LVR,QB,11,10,213,343,62.1,2218,12,3.5,7,2.0,107,43.6,50.0,6.5,6.25,10.4,201.6,83.9,41.3,24,173,6.54,5.57,5.37,0,1,None,OConAi00,5,5,0
28,Mac Jones,25,NWE,QB,11,11,224,345,64.9,2120,10,2.9,12,3.5,100,43.3,58.0,6.1,5.16,9.5,192.7,77.0,37.5,22,127,5.99,5.43,4.5,1,1,None,JoneMa05,2,9,0
29,Kenny Pickett,25,PIT,QB,12,12,201,324,62.0,2070,6,1.9,4,1.2,91,40.3,72.0,6.4,6.2,10.3,172.5,81.4,38.9,23,173,6.63,5.47,5.29,3,3,None,PickKe00,7,5,0
30,Jake Browning,27,CIN,QB,9,7,171,243,70.4,1936,12,4.9,7,2.9,93,48.3,80.0,8.0,7.66,11.3,215.1,98.4,60.8,24,169,8.99,6.62,6.34,2,2,None,BrowJa08,4,3,0
